UserId,Gender,Age,Occupation,ZipCode
3046,M,1,college/grad student,46311
3047,F,25,college/grad student,94117
3048,M,18,artist,02066
3049,F,50,other,02421
3050,M,35,programmer,94025
3051,M,18,technician/engineer,94063
3052,M,35,programmer,10036
3053,F,25,clerical/admin,55102
3054,M,18,college/grad student,44056
3055,F,25,clerical/admin,98501
3056,M,25,tradesman/craftsman,10309
3057,F,25,programmer,55438
3058,M,18,programmer,55123
3059,M,35,other,75023
3060,F,35,academic/educator,92705
3061,M,45,artist,29440
3062,M,18,college/grad student,03106
3063,M,18,college/grad student,03106
3064,M,35,technician/engineer,90026
3065,F,18,college/grad student,48135
3066,M,18,college/grad student,61801
3067,F,25,other,02148
3068,F,35,homemaker,66204
3069,M,18,college/grad student,97470
3070,F,18,college/grad student,10708
3071,M,25,academic/educator,02115
3072,M,50,academic/educator,55126
3073,M,25,other,90028
3074,M,25,other,23451
3075,F,25,lawyer,06107
3076,M,35,technician/engineer,30024
3077,M,18,college/grad student,43202
3078,F,35,academic/educator,02155
3079,F,25,academic/educator,55410
3080,M,25,writer,55410
3081,M,25,executive/managerial,77252
3082,F,35,doctor/health care,45459
3083,F,50,other,97403
3084,M,25,self-employed,01581
3085,M,25,college/grad student,78703
3086,M,18,programmer,98105
3087,F,1,academic/educator,90802
3088,F,25,college/grad student,87110
3089,M,45,self-employed,93448
3090,M,25,artist,90004
3091,F,25,other,19107
3092,M,35,scientist,98108
3093,F,45,writer,89134
3094,M,35,other,30030
3095,F,25,clerical/admin,06810
3096,F,45,clerical/admin,38028
3097,F,25,customer service,10021
3098,M,25,college/grad student,55112
3099,M,25,technician/engineer,20910
3100,F,25,doctor/health care,91423
3101,M,18,scientist,91101
3102,M,25,programmer,34170
3103,M,25,writer,64112
3104,M,18,technician/engineer,02118
3105,M,35,programmer,98166
3106,M,25,other,33142
3107,M,25,technician/engineer,92656
3108,M,50,doctor/health care,22039
3109,F,25,lawyer,43201
3110,M,25,other,10002
3111,M,18,college/grad student,56520
3112,M,18,programmer,98133
3113,M,25,K-12 student,55414
3114,M,18,customer service,65211
3115,M,35,technician/engineer,48323
3116,M,25,programmer,98034
3117,M,35,other,83704
3118,M,25,other,77025
3119,M,45,academic/educator,37027
3120,M,18,college/grad student,55414
3121,M,25,artist,32118
3122,F,25,executive/managerial,22209
3123,M,25,artist,90401
3124,M,25,programmer,30337
3125,M,25,executive/managerial,10025
3126,M,25,artist,32118
3127,F,25,other,10003
3128,M,18,artist,10012
3129,M,25,executive/managerial,21117
3130,M,25,executive/managerial,32835
3131,F,25,artist,90036
3132,M,35,executive/managerial,98467
3133,M,18,college/grad student,33720
3134,M,18,college/grad student,55455
3135,M,25,scientist,12345
3136,F,25,college/grad student,72801
3137,M,25,lawyer,11217
3138,M,35,technician/engineer,46229
3139,M,56,retired,89128
3140,F,25,college/grad student,78728
3141,M,25,sales/marketing,81679
3142,M,25,writer,85719
3143,F,50,self-employed,90272
3144,F,25,executive/managerial,85260
3145,M,18,college/grad student,02138
3146,M,25,other,31605
3147,M,25,sales/marketing,49355
3148,M,18,writer,72837
3149,M,18,college/grad student,92602
3150,F,25,clerical/admin,92831
3151,F,25,other,92870
3152,M,18,college/grad student,61801
3153,F,25,college/grad student,73160
3154,F,25,college/grad student,95616
3155,M,25,executive/managerial,55112
3156,M,35,executive/managerial,07663
3157,M,25,programmer,92880
3158,M,25,scientist,15217
3159,F,25,scientist,15213
3160,M,25,technician/engineer,77521
3161,M,25,executive/managerial,55408
3162,M,25,academic/educator,08854-3115
3163,M,18,scientist,95616
3164,M,18,programmer,55118
3165,M,35,executive/managerial,60611
3166,M,18,college/grad student,32607
3167,M,25,artist,77056
3168,F,35,customer service,94546
3169,M,50,other,23518
3170,M,25,other,08461
3171,F,50,clerical/admin,10128
3172,M,18,programmer,55408
3173,M,25,programmer,55317
3174,F,18,sales/marketing,10018
3175,M,35,self-employed,10014
3176,M,25,technician/engineer,95129
3177,F,25,doctor/health care,94132
3178,F,35,customer service,44313
3179,F,18,writer,02125
3180,M,25,sales/marketing,07430
3181,M,25,programmer,07436
3182,M,25,programmer,12866
3183,M,50,executive/managerial,60510
3184,F,25,tradesman/craftsman,21214
3185,M,18,executive/managerial,55337
3186,M,50,academic/educator,92122
3187,M,35,programmer,32935
3188,M,56,retired,55344
3189,M,25,self-employed,90292
3190,M,1,technician/engineer,97062
3191,M,25,programmer,27707
3192,M,18,college/grad student,02912
3193,M,25,other,92019
3194,M,25,scientist,92648
3195,M,18,college/grad student,80228
3196,F,18,college/grad student,45219
3197,F,18,sales/marketing,94110
3198,M,25,programmer,94110
3199,M,18,other,57106
3200,F,25,academic/educator,98144
3201,M,45,executive/managerial,35216
3202,F,18,college/grad student,24060
3203,M,35,other,90254
3204,M,45,self-employed,80304
3205,F,35,self-employed,80304
3206,M,18,writer,44089
3207,M,35,executive/managerial,60610
3208,M,25,sales/marketing,30342
3209,M,25,other,21555
3210,F,45,other,02115
3211,M,50,self-employed,20015
3212,F,25,technician/engineer,11215
3213,F,25,academic/educator,83705
3214,F,56,executive/managerial,10019
3215,F,50,retired,55447
3216,M,35,academic/educator,54481
3217,F,35,other,92630
3218,M,56,doctor/health care,48070
3219,F,18,college/grad student,54302
3220,M,35,executive/managerial,54016
3221,M,25,other,19106
3222,M,35,executive/managerial,10583
3223,M,25,writer,10014
3224,F,25,sales/marketing,93428
3225,M,18,other,15237
3226,M,35,college/grad student,10027
3227,F,25,sales/marketing,60657
3228,M,25,sales/marketing,05448
3229,F,56,academic/educator,93105
3230,M,35,self-employed,92630
3231,M,25,executive/managerial,55112
3232,M,35,programmer,92821
3233,M,50,artist,60660
3234,F,1,other,90012
3235,M,18,college/grad student,87801
3236,M,18,scientist,87111
3237,M,35,executive/managerial,05401
3238,M,35,executive/managerial,10069
3239,F,25,programmer,07730
3240,M,18,college/grad student,55403
3241,F,50,other,20004
3242,M,50,retired,94089
3243,M,25,programmer,98117
3244,F,18,college/grad student,92647
3245,M,18,artist,08820
3246,F,35,academic/educator,85258
3247,M,35,scientist,92649
3248,F,25,executive/managerial,94115
3249,F,25,college/grad student,92648
3250,M,25,college/grad student,90069
3251,M,35,technician/engineer,15330
3252,M,50,other,76067
3253,F,35,college/grad student,26505
3254,F,35,doctor/health care,95843
3255,F,25,scientist,91902
3256,M,25,scientist,92111
3257,M,25,sales/marketing,94105
3258,M,45,doctor/health care,02339
3259,F,18,college/grad student,95616
3260,M,25,college/grad student,44514
3261,M,45,writer,87505
3262,M,25,sales/marketing,55391
3263,M,50,lawyer,66048
3264,F,25,academic/educator,94536
3265,M,25,scientist,53704
3266,F,25,college/grad student,95616
3267,M,25,college/grad student,78705
3268,M,25,programmer,04106
3269,F,18,writer,45220
3270,M,18,lawyer,45220
3271,F,35,other,92704
3272,M,35,other,08330
3273,M,35,executive/managerial,11201
3274,M,25,writer,02062
3275,M,35,executive/managerial,10028
3276,M,25,writer,55391
3277,M,25,technician/engineer,94107
3278,M,35,executive/managerial,10014
3279,M,45,scientist,92880
3280,M,25,executive/managerial,33486
3281,M,25,technician/engineer,79705
3282,M,45,clerical/admin,20009
3283,M,35,self-employed,66208
3284,M,25,doctor/health care,48197
3285,M,25,college/grad student,44706
3286,F,35,executive/managerial,80013
3287,M,56,retired,27514-3540
3288,M,25,sales/marketing,94133
3289,M,45,doctor/health care,95695
3290,M,25,sales/marketing,90292
3291,F,25,executive/managerial,27516
3292,F,50,doctor/health care,79410
3293,M,45,sales/marketing,37343
3294,M,18,college/grad student,78749
3295,M,18,tradesman/craftsman,92123
3296,M,18,sales/marketing,90292
3297,M,18,college/grad student,91325
3298,M,1,K-12 student,20876
3299,F,25,college/grad student,19119
3300,M,35,customer service,19119
3301,F,25,artist,85719
3302,M,25,technician/engineer,74074
3303,M,56,technician/engineer,06405
3304,F,45,customer service,92649
3305,M,56,writer,94708
3306,M,45,sales/marketing,60045
3307,M,50,doctor/health care,90640
3308,F,18,writer,15701-1348
